Provinsi,Tahun,outflow_tunai,kartu_atm_debet,Server_Based,SKNBI_Asal,scaled_idx,Cluster_raw,Target_Semantic,PCA1,PCA2
Bali,2021,6.806386820563303,1.426348921237681,0.8994518842408451,7.422211674683779,0,0,Digital Menengah,-0.23138216877329432,0.23242018100748393
Banten,2021,7.034333177548705,2.2169103858994075,1.9540818245452805,8.206278591909893,5,0,Digital Menengah,1.0515870817832416,-0.21036321096302887
Bengkulu,2021,6.347947261008038,0.8486288670618344,0.48020336175150136,6.080325638477716,10,3,Digital Rendah,-1.4110723280310422,0.17913455449397478
D.I. Yogyakarta,2021,7.032740918271388,1.6277032475908808,1.1371826033923684,7.379599056987523,15,0,Digital Menengah,0.08122072873052166,0.29008231399933904
DKI Jakarta,2021,3.794307652481236,3.794307652481236,5.835845703736428,12.532031495607962,20,2,Digital Spesialis Non-Tunai,3.5611514118468692,-5.253756929336056
Gorontalo,2021,5.336315558555697,0.40166868859624466,0.2773375013961557,5.150065229545924,25,3,Digital Rendah,-2.5532257214771636,-0.47386607497462296
Jambi,2021,6.708306543653044,1.0915424673831815,0.72987203324569,7.254155072481849,30,0,Digital Menengah,-0.5912881477370762,0.26117372025926744
Jawa Barat,2021,8.35941740863509,3.464857313828445,3.213930078133748,9.432019580635362,35,1,Digital Maju,3.358960353995459,0.10017932454087769
Jawa Tengah,2021,8.589664601094224,3.2778371127388457,2.6290056229094465,9.169838663360544,40,1,Digital Maju,3.0134204922523424,0.6215006288358158
Jawa Timur,2021,8.686792953398488,3.262593245992284,2.749729380134827,9.842556625584308,45,1,Digital Maju,3.3379884091437932,0.5943903523538662
Kalimantan Barat,2021,6.948632446906792,1.3970600566676221,0.8259264675072194,7.787691315326187,50,0,Digital Menengah,-0.0866256791967833,0.36560631355900297
Kalimantan Selatan,2021,6.577139535476543,1.3597484488968574,0.875615462700321,7.55787576966405,55,0,Digital Menengah,-0.3437950121497553,0.0494636243700661
Kalimantan Tengah,2021,6.863317979491829,0.9775388142006505,0.5239600878031012,6.613290276309951,60,0,Digital Menengah,-0.8886509743216785,0.5421532853905414
Kalimantan Timur,2021,7.133945922354024,1.5852141894811327,0.9683370493353181,6.065869356227204,65,0,Digital Menengah,-0.4168034286792369,0.5486862983018546
Kalimantan Utara,2021,5.618569254934156,0.0,1.9999980000026667e-06,7.889558531178098,70,3,Digital Rendah,-1.8219020905922685,-0.2608888742126605
Kep Bangka Belitung,2021,6.173088281159265,0.6158085981640837,0.4668643318038716,6.483255589168468,75,3,Digital Rendah,-1.4883274635075057,0.022417861452718124
Kepulauan Riau,2021,6.5365855736305045,0.9106155249754616,0.691876915781811,7.124816550571868,80,0,Digital Menengah,-0.8323113130392785,0.15309416721842106
Lampung,2021,6.915398494115851,1.6766564640795112,1.6147448888241998,7.351189251339529,85,0,Digital Menengah,0.2609609019987925,-0.05912000630226824
Maluku,2021,5.781459663124249,0.6193994063476681,0.22747548824544733,6.136331479608673,90,3,Digital Rendah,-1.9076854931081968,-0.1505010125261423
Maluku Utara,2021,5.5523892851617225,0.4486312330067334,0.14511137671940683,5.612047180705479,95,3,Digital Rendah,-2.326501745664125,-0.2570202701046699
Nanggroe Aceh Darussalam,2021,6.797076910582292,1.533299500845485,0.8125347800668041,7.13669071145839,100,0,Digital Menengah,-0.31718779384351575,0.286496541507197
Nusa Tenggara Barat,2021,6.458920895252076,1.3826942008128165,0.6893654973344772,6.925789319084339,105,0,Digital Menengah,-0.6912001993912344,0.0911536002904694
Nusa Tenggara Timur,2021,6.380004538558573,1.2300850185610077,0.3695328177167499,6.849676280451923,110,0,Digital Menengah,-0.9842568188398046,0.2047013680382016
Papua,2021,7.072546649357411,1.6170025284442378,0.1861791760483248,6.708454196734033,115,0,Digital Menengah,-0.5739429516720251,0.8706863411608877
Papua Barat,2021,5.461682446725042,0.5730636727203451,0.2007731220345525,5.536005658802692,120,3,Digital Rendah,-2.3057131490967957,-0.35946766197236424
Riau,2021,7.451104052276989,1.652465009926766,1.0668096820904693,8.199043979253151,125,0,Digital Menengah,0.5459014096026238,0.6180486965847708
Sulawesi Barat,2021,5.645984591195306,0.4767475047790811,0.2637244287680812,4.016908140371128,130,3,Digital Rendah,-2.7537332995157255,-0.1407915867587419
Sulawesi Selatan,2021,7.365002759655028,2.000250190249706,1.2094529110739627,7.8709239046311845,135,0,Digital Menengah,0.6408589074472689,0.4837378815365482
Sulawesi Tengah,2021,5.944398441829964,0.9615512774367598,0.3966748086028309,6.741381630981516,140,3,Digital Rendah,-1.3635231941324428,-0.15407279755362255
Sulawesi Tenggara,2021,6.001744897726978,0.8924191937765136,0.4049016160429934,6.432172798991327,145,3,Digital Rendah,-1.4731396359009876,-0.08953380597811297
Sulawesi Utara,2021,6.364389413130639,1.0930321932983706,0.5639872192915627,6.697965082704801,150,0,Digital Menengah,-1.025496056287455,0.10207227539481556
Sumatera Barat,2021,6.578118969841248,1.5761655248621345,0.9111384817994052,7.398861964625487,155,0,Digital Menengah,-0.26722007126636577,0.03608320047863853
Sumatera Selatan,2021,7.378953197997145,1.705437021538795,1.3522766389035699,7.945690026340527,160,0,Digital Menengah,0.5843688356432563,0.4222871182262261
Sumatera Utara,2021,8.061789482823084,2.246499615117098,1.6191488582013014,9.123798612156852,165,1,Digital Maju,1.7285977033354678,0.7524687982819813
Bali,2022,6.9761620774171345,1.5590111372471676,2.6652202542032906,8.109173343756328,1,0,Digital Menengah,0.9736770989376636,-0.6120242009783642
Banten,2022,7.128514256619781,2.406474306817962,1.8044758451950715,8.779169347297357,6,0,Digital Menengah,1.3231266151123506,-0.09541081983001218
Bengkulu,2022,6.343001212757868,0.9880548044783439,0.30253764701355096,6.510342625698588,11,3,Digital Rendah,-1.276176822969708,0.2379391149264899
D.I. Yogyakarta,2022,7.009486320649976,1.7111306048445307,2.6244582773690577,7.915058834469395,16,0,Digital Menengah,0.9850391890346396,-0.554417609492615
DKI Jakarta,2022,9.537018897273907,3.360391124865284,6.1412092699121885,13.289634366351773,21,2,Digital Spesialis Non-Tunai,6.551448973178167,-0.7295163404271579
Gorontalo,2022,5.333114941862628,0.6169712511429382,0.3342415153031297,5.511389190387303,26,3,Digital Rendah,-2.2922815278298145,-0.5355493634859954
Jambi,2022,6.626331699884934,1.2626246579848344,0.6296936755445866,7.840808225819198,31,0,Digital Menengah,-0.3883495564031152,0.204605463728744
Jawa Barat,2022,8.397642208975036,3.750180264910124,3.2918649000119573,9.966638279338945,36,1,Digital Maju,3.74577136313314,0.048430870385236
Jawa Tengah,2022,8.684575573097744,3.541585635109958,2.8613103412759884,9.69069244274372,41,1,Digital Maju,3.4835608045973396,0.5359667206375605
Jawa Timur,2022,8.787004499724883,3.5354473396678374,2.9404687921204387,10.380882677350419,46,1,Digital Maju,3.8022042396372546,0.5338955400404727
Kalimantan Barat,2022,6.911401433820032,1.5451919884857963,1.1525250253543489,8.310667990752382,51,0,Digital Menengah,0.3022898160378963,0.12422993973264569
Kalimantan Selatan,2022,6.711239438528559,1.4854383944281346,1.3216932323673463,8.032375248622651,56,0,Digital Menengah,0.15629031462975418,-0.11063167509334995
Kalimantan Tengah,2022,6.897497780619523,1.0816776763490072,0.5100623951982393,7.147328006015098,61,0,Digital Menengah,-0.6418104261230844,0.5405033968154251
Kalimantan Timur,2022,7.207093344470424,0.0,1.054213124968732,8.50002103717675,66,0,Digital Menengah,-0.3458663018075875,0.44738597764237964
Kalimantan Utara,2022,5.731262969975162,1.7145196492367123,2.6652202542032906,6.664974196377855,71,0,Digital Menengah,-0.04723130195602124,-1.5469364193846546
Kep Bangka Belitung,2022,6.081593280248586,0.7333977318376068,0.3571135628452069,6.88924660833709,76,3,Digital Rendah,-1.3841047097029353,-0.023869881660018133
Kepulauan Riau,2022,6.5837347484065525,1.149784745199505,0.8411222424729208,7.802845758530118,81,0,Digital Menengah,-0.38352668713471916,0.06281846948427905
Lampung,2022,6.900927602703597,1.8758167104317722,0.9800487041947299,7.787693990163211,86,0,Digital Menengah,0.2130203514017181,0.23224144399877478
Maluku,2022,5.855084841929616,0.7128494351718969,0.2210520866586645,6.586537949075585,91,3,Digital Rendah,-1.6721692734738647,-0.11798494692350656
Maluku Utara,2022,5.667005967774786,0.5472781339784982,0.1461970789076587,6.097709823935812,96,3,Digital Rendah,-2.052584528023424,-0.1971887508663732
Nanggroe Aceh Darussalam,2022,6.945475976152517,1.5903902690658178,1.215889717358066,7.57790389570409,101,0,Digital Menengah,0.12273393917551967,0.16474124845539082
Nusa Tenggara Barat,2022,6.688233527508675,1.5964158758864044,0.8270366527945139,7.431996300625629,106,0,Digital Menengah,-0.23021328878523117,0.16859727462463994
Nusa Tenggara Timur,2022,6.453781837889664,1.4249691720905575,0.4463896080932509,7.3006419358080175,111,0,Digital Menengah,-0.656502325993437,0.19050514069651725
Papua,2022,6.8769269281116525,1.0049751918129635,0.49907036937990223,7.281589960628977,116,0,Digital Menengah,-0.6516220388545333,0.5227389497989544
Papua Barat,2022,5.502549179358913,0.5923637665649851,0.21761973545696373,6.043937811917831,121,3,Digital Rendah,-2.0948237191209804,-0.3680403334497333
Riau,2022,7.496411720360951,1.7039587201601867,1.1907363934602309,8.721223097810832,126,0,Digital Menengah,0.8303578486307309,0.554593718011696
Sulawesi Barat,2022,5.659285810164652,0.6388979867151463,0.2315039934579449,4.397086240520465,131,3,Digital Rendah,-2.5475060063602704,-0.14147924207820142
Sulawesi Selatan,2022,7.316259714794197,2.12806745624993,1.5366298003571637,8.288937174617777,136,0,Digital Menengah,0.977988294114258,0.23988014083128062
Sulawesi Tengah,2022,6.14216186985247,1.1197388213497623,0.3507909117383269,7.2561478626406695,141,3,Digital Rendah,-1.0293516855030864,-0.0043581637168673415
Sulawesi Tenggara,2022,6.149633404160374,1.1076791435627167,0.3408499357120069,6.75973749535215,146,3,Digital Rendah,-1.2055853524512083,0.039383771955335545
Sulawesi Utara,2022,6.615962422424308,1.1072568168368737,0.4821060666102558,7.180078994924723,151,0,Digital Menengah,-0.7683744112248774,0.3209709130824926
Sumatera Barat,2022,6.604247430501213,1.7530637860002158,0.9842317980964956,7.837039737516485,156,0,Digital Menengah,0.021593936081691634,-0.014021578000814633
Sumatera Selatan,2022,7.371534629218691,1.9068490041227273,1.1280113268505323,8.497018315400146,161,0,Digital Menengah,0.7703293700705008,0.4943410362274808
Sumatera Utara,2022,8.009547876802582,2.5264900410388504,1.7779212612229758,9.659034134362651,166,1,Digital Maju,2.1058631756586204,0.583536510007708
Bali,2023,7.044927706941641,1.6613702459259947,0.9635803104104534,7.495656529938421,2,0,Digital Menengah,0.06396109552191209,0.3838097081468455
Banten,2023,7.241180977939483,2.504067377210748,2.092636731870341,7.932918243665454,7,0,Digital Menengah,1.2752253211042972,-0.10349602216877793
Bengkulu,2023,6.3205831297468835,1.074356594503869,0.5358448171693841,5.497341380991599,12,3,Digital Rendah,-1.478495855329482,0.15887074371709706
D.I. Yogyakarta,2023,7.145103377389094,1.7805628818419406,1.6446685249855189,7.055425655050238,17,0,Digital Menengah,0.34153728694893015,0.1303435472882948
DKI Jakarta,2023,9.578756918874094,3.5201516472103354,6.3083429266294875,12.641650106415316,22,2,Digital Spesialis Non-Tunai,6.512809645850279,-0.7461617712208468
Gorontalo,2023,5.145902855532874,0.7143914152994257,0.3396974467019075,4.65862830153589,27,3,Digital Rendah,-2.620688885437499,-0.6399677576130964
Jambi,2023,6.560054182178692,1.3718180624672713,0.8060129983436358,7.077733859404991,32,0,Digital Menengah,-0.5415075656076735,0.10296955571645589
Jawa Barat,2023,8.402079251970981,3.846690184918334,3.2985665718641806,9.110948737798488,37,1,Digital Maju,3.5105443732561117,0.10120946888344731
Jawa Tengah,2023,8.707623318805178,3.641054714085113,2.6687671318460278,8.841082391884004,42,1,Digital Maju,3.1687733375870866,0.7092419874089116
Jawa Timur,2023,8.88636720135635,3.6354988292583137,2.7843145188638143,9.5409180440535,47,1,Digital Maju,3.5453288818826336,0.750011717360887
Kalimantan Barat,2023,6.879442931286786,1.6334324114812089,0.9104758582182393,7.487350410947137,52,0,Digital Menengah,-0.05939171119824302,0.277106095959848
Kalimantan Selatan,2023,6.765975913440978,1.562957735688168,0.9704586007108735,7.157332914012252,57,0,Digital Menengah,-0.23666530356240043,0.17506997847217287
Kalimantan Tengah,2023,6.831390668715711,1.2357721287027457,0.6137978296812445,6.387350147252557,62,0,Digital Menengah,-0.8038614710038242,0.4761356566393352
Kalimantan Timur,2023,7.355095267945928,1.8184145722179852,1.0699683855564703,7.8560747691636905,67,0,Digital Menengah,0.4707321537046283,0.5552202895440882
Kalimantan Utara,2023,5.654614273421594,0.0,0.000135490820704187,5.929172383202038,72,3,Digital Rendah,-2.4713752195501506,-0.10488960032334702
Kep Bangka Belitung,2023,5.994540857597885,0.7964215467202804,0.506775414154911,6.07550629680432,77,3,Digital Rendah,-1.6013253895487067,-0.12399589258272944
Kepulauan Riau,2023,6.798368308062369,1.246819220321561,0.7350273749891314,7.119205149496167,82,0,Digital Menengah,-0.5090016972950977,0.3372045798134089
Lampung,2023,6.9829627940197145,1.9932264044253776,1.3217363509035196,6.764668768479188,87,0,Digital Menengah,0.1251343433088843,0.18146180235335602
Maluku,2023,5.857840703155682,0.7541920277948,0.2969113513302358,5.609635587364248,92,3,Digital Rendah,-1.9464303102040872,-0.09401749544301849
Maluku Utara,2023,5.658661961166361,0.600759193654707,0.19140256049680834,5.082662308289806,97,3,Digital Rendah,-2.3531004765849075,-0.16395086104254805
